City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
505,Sibolga,ID,76.87,few clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
506,Timra,SE,70.68,few clouds,62.487,17.3257,Bergefors park
510,Latehar,IN,77.49,overcast clouds,23.75,84.5,Hotel Raj
512,Chase,CA,82.15,clear sky,50.8165,-119.6857,Chase Country Inn Motel
516,Rancho Palos Verdes,US,89.37,broken clouds,33.7445,-118.387,Terranea Resort
519,Meadow Lake,US,85.84,broken clouds,34.8014,-106.5436,JKL Inc. R.V Park and Storage
522,Tshikapa,CD,77.63,broken clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
524,Bagrami,AF,79.75,clear sky,34.4938,69.2743,SH++ZA
525,Nam Dinh,VN,80.82,overcast clouds,20.4167,106.1667,Khách sạn Dệt
526,Diego De Almagro,CL,70.16,clear sky,-26.3667,-70.05,hotel luna del desierto
527,Rio Bonito,BR,82.53,clear sky,-22.7086,-42.6097,Novo Hotel Ximenes
528,Lugovoy,KZ,79.59,clear sky,42.9472,72.7644,Ж.Д Вокзал Луговая
529,Pinar Del Rio,CU,87.01,broken clouds,22.4175,-83.6981,Hostal La Colina Dunay y Raul
532,Tagusao,PH,81.19,broken clouds,9.1924,117.8141,Toledo
535,Mangrol,IN,80.04,light rain,21.1167,70.1167,Hotel The Royal Honours
536,Digboi,IN,75.83,light rain,27.3833,95.6333,"Digboi College, Boys Hostel"
537,Miyako,JP,70.32,overcast clouds,39.6367,141.9525,Hotel Route Inn Miyako
538,Gualaquiza,EC,75.4,light rain,-3.4,-78.55,Hotel Merceditas
542,Chifeng,CN,73.33,overcast clouds,42.2683,118.9636,Junyu Tiancheng Hotel
545,Karaton,ID,78.96,clear sky,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
547,Neiafu,TO,72.28,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
549,Algiers,DZ,85.82,clear sky,36.7525,3.042,Sofitel Algiers Hamma Garden
554,Moses Lake,US,89.29,clear sky,47.1301,-119.2781,Ramada by Wyndham Moses Lake
556,Yueyang,CN,76.69,clear sky,29.3333,113.0919,Delong Fortune Hotel
557,Vila Franca Do Campo,PT,72.01,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
559,Ubaira,BR,75.56,clear sky,-13.2681,-39.6628,Grupo Navarro
562,Vao,NC,71.42,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
563,Tuy Hoa,VN,82.17,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
564,Kavieng,PG,80.69,light rain,-2.5744,150.7967,Nusa Island Retreat
566,Half Moon Bay,US,86.23,scattered clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
568,Ocean City,US,89.01,clear sky,39.2776,-74.5746,Biscayne Suites
570,Gushikawa,JP,80.19,broken clouds,26.3544,127.8686,Kirari Guest House
572,Huanuco,PE,76.66,few clouds,-9.9329,-76.2415,Sweet Dreams
574,Arroio Dos Ratos,BR,85.03,scattered clouds,-30.0772,-51.7292,Hotel do Sul
577,North Platte,US,86.32,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
578,Tanda,IN,86.59,moderate rain,26.55,82.65,MUMTAZ GANJ TANDA
579,Dibulla,CO,80.64,overcast clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
580,Acari,PE,70.72,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
582,Danville,US,89.65,few clouds,36.586,-79.395,"Holiday Inn Express Danville, an IHG Hotel"
583,Aksu,CN,86.22,clear sky,41.1231,80.2644,Pudong Holiday Hotel
586,Tefe,BR,87.91,scattered clouds,-3.3542,-64.7114,Aracati Hotel
588,Sirnak,TR,77.94,clear sky,37.5228,42.4594,Şehr-i Nuh Otel
589,Tarata,BO,74.62,clear sky,-17.6167,-66.0167,Alojamiento IV Centenario
591,Lata,PT,74.05,broken clouds,40.1629,-8.3327,Casa Maquia
594,Marawi,PH,70.65,overcast clouds,7.9986,124.2928,Derogongan Residence
599,Wakkanai,JP,71.22,scattered clouds,45.4094,141.6739,Hyōsetsu-sō
601,Port-Gentil,GA,76.96,overcast clouds,-0.7193,8.7815,Fengshui Residence
603,Kerema,PG,76.46,overcast clouds,-7.9631,145.7785,Frena Lodge
604,San Vicente,AR,82.38,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
605,Shingu,JP,74.91,clear sky,33.7333,135.9833,Shingu UI Hotel
606,Timmins,CA,76.82,smoke,48.4669,-81.3331,The Senator Hotel & Conference Centre
608,Skibbereen,IE,73.2,few clouds,51.55,-9.2667,The West Cork Hotel
609,Venkatagiri,IN,84.58,few clouds,13.9667,79.5833,Akhilesh house
612,Manadhoo,MV,81.5,overcast clouds,5.7667,73.3833,Vevu Guesthouse
613,Kizukuri,JP,73.11,few clouds,40.8061,140.3861,Hotel memory
615,Ano Mera,GR,78.66,clear sky,37.45,25.4,Hotel La Résidence Mykonos
616,Kropotkin,RU,74.93,clear sky,45.4375,40.5756,Hotel Europe Kropotkin
619,Sao Jose Da Coroa Grande,BR,75.96,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
622,Bela Vista Do Paraiso,BR,81.64,clear sky,-22.9967,-51.1906,Hotel Pasettu's
623,Hua Hin,TH,84.0,light rain,12.5707,99.9588,"InterContinental Hua Hin Resort, an IHG Hotel"
624,Mersing,MY,78.71,clear sky,2.4312,103.8405,Timotel Hotel
625,Bandarbeyla,SO,78.4,clear sky,9.4942,50.8122,JABIR HOTEL
626,Sabang,ID,82.81,overcast clouds,5.8933,95.3214,Hotel Citra
627,Tanete,ID,74.08,broken clouds,-3.9443,119.7848,Wisma Tri Multi
629,Chernyy Yar,RU,77.67,clear sky,48.0624,46.1091,Stanitsa Chernoyarskaya
631,Boyolangu,ID,70.03,scattered clouds,-8.1181,111.8935,Yos ega cv
